token,frequencia
laterolateral,1888
preservados,1814
pulmonares,1809
ser,1697
traqueia,1574
preservado,1463
lumen,1437
estreitamento,1304
ausencia,1301
ventrodorsal,1064
costais,1050
canino,1034
sem,1027
direita,997
cardiaca,985
esquerda,957
campos,943
mediastino,939
valor,924
todas,920
absoluto,918
fornecidas,918
anteriores,918
subsequentes,918
somente,918
confrontadas,917
incidencias,916
nome,913
estar,908
esterno,901
arcos,896
radiograficas,882
diafragma,882
podem,879
alteracoes,867
opacificacao,864
dimensoes,863
esofago,837
que,800
trajeto,787
nodulos,786
metastase,786
apresentando,782
visibilizados,779
menores,774
conteudo,770
contornos,767
formato,761
visibilizado,757
processo,754
usual,729
sua,700
vhs,672
colapso,669
momento,663
exclui,652
dinamico,651
mineralizacao,647
sinais,645
tecidos,607
moles,606
dorsal,588
pulmonar,581
nas,566
avaliacao,553
cartilagens,540
sugere,509
das,495
foram,470
estudo,463
observadas,460
imagens,454
podendo,441
costocondrais,425
estruturas,409
pesquisa,407
pode,403
hilar,396
topografia,388
relacionada,379
dos,368
vasos,364
pontos,362
projecao,360
aspectos,357
transversal,356
relacionado,352
entesofitos,352
milimetricos,348
radiopacidade,345
osseas,342
evidentes,340
passiveis,338
alguns,328
sugestivas,327
visibiliza,321
dentro,320
normalidade,319
aspecto,309
plano,308
discreta,307
nota,302
padroes,284
vertebras,279
sobreposicao,278
abdominal,277
estrutura,274
musculoesqueleticas,270
medindo,270
aproximadamente,264
caso,262
ultrassonografia,261
costal,260
necessario,259
julgue,258
caudal,255
hepatica,241
aumento,241
porcao,238
membrana,238
hepatomegalia,235
ventrais,235
cranial,232
felino,231
ultrapassando,228
gradil,227
limites,225
cabecas,225
umerais,225
cervical,222
proliferacoes,219
redundante,214
observacao,209
criterio,208
entre,206
padrao,205
tecido,200
uma,197
toracica,197
diferenciais,192
realizacao,178
diag,171
superficies,170
carvalho,168
espondilose,166
articulares,162
escapuloumerais,154
localizada,154
quantidade,148
preta,148
area,148
densidade,147
ecodopplercardiograma,146
nepomuceno,146
anelise,145
segmento,143
cervicotoracica,139
preservadas,138
sendo,137
discreto,137
direito,135
parede,130
costa,128
branca,127
espaco,124
elucidacao,123
branco,119
placas,117
identificacao,115
seu,115
neoformacoes,114
margens,113
aumentadas,112
carolina,112
dorsalmente,111
metalica,111
sugestivo,110
terminais,110
gasoso,107
alveolar,105
projecoes,105
relacionados,104
caudais,104
leticia,104
volume,104
preto,103
cardoso,103
esquerdo,101
ventral,100
cardiomegalia,100
altura,100
silva,99
dias,97
junto,93
maria,92
mole,92
kelly,91
caramelo,91
adiposo,90
possivel,88
melo,87
srd,87
lobo,86
pneumonia,86
tanara,84
t13,84
edema,84
deslocamento,83
por,83
associado,82
cilindrica,82
traqueal,81
pleural,81
intersticial,81
radiografica,80
t10,80
hemitorax,80
esclarecer,79
bases,79
espondiloses,78
aneis,78
marrom,76
laterolaterais,75
acumulo,74
maior,74
vertebra,74
cartilaginosos,73
bordas,72
discretamente,72
lobos,71
intercostal,71
demais,70
veterinaria,70
t12,70
souza,70
efusao,68
pela,68
